Full Name:,Born:,Current Age:,Bats:,Bowls:,Innings:,Not Outs:,Aggregate:,Highest Score:,Average:,50s:,100s:,Ducks:,4s:,6s:,Scoring Rate,Overs:,Runs Conceded:,Wickets:,Average:,4 Wickets in Innings:,5 Wickets in Innings:,Economy Rate:,Strike Rate:,Catches:,Most Catches in Innings:,Catches:,Stumpings:,Most Catches in Innings:,Most Dismissals in Innings:,Won/Lost:,Matches
Ajinkya M Rahane,06/06/1988,31 years 343 days,Right Handed,Right Arm Medium,20.0,2.0,375.0,61.0,20.83,1.0,0.0,2.0,32.0,6.0,113.29,0.0,0.0,0.0,0,0.0,0.0,0,0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,20
Kannaur Lokesh Rahul,18/04/1992,28 years 26 days,Right Handed,Does Not Bowl | Unknown,38.0,6.0,1461.0,110*,45.66,11.0,2.0,1.0,129.0,61.0,146.1,0.0,0.0,0.0,0,0.0,0.0,0,0,13.0,2.0,3.0,1.0,1.0,2.0,0,42
Suresh Kumar Raina,27/11/1986,33 years 169 days,Left Handed,Right Arm Off Break,66.0,11.0,1605.0,101.0,29.18,5.0,1.0,3.0,145.0,58.0,134.87,58.1,442.0,13.0,34.0,0.0,0.0,7.6,26.85,42.0,3.0,0.0,0.0,0.0,0.0,3.0,78
Ambati T Rayudu,23/09/1985,34 years 234 days,Right Handed,Right Arm Off Break,5.0,1.0,42.0,20.0,10.5,0.0,0.0,2.0,5.0,0.0,84.0,0.0,0.0,0.0,0,0.0,0.0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0,6
Navdeep Amarjeet Saini,23/11/1992,27 years 173 days,Right Handed,Right Arm Fast,2.0,2.0,11.0,11*,0,0.0,0.0,0.0,2.0,0.0,110.0,32.5,235.0,13.0,18.08,0.0,0.0,7.16,15.15,3.0,2.0,0.0,0.0,0.0,0.0,0,10
Vijay Shankar,26/01/1991,29 years 109 days,Right Handed,Right Arm Off Break,4.0,0.0,101.0,43.0,25.25,0.0,0.0,0.0,11.0,5.0,138.36,21.0,191.0,5.0,38.2,0.0,0.0,9.1,25.2,2.0,1.0,0.0,0.0,0.0,0.0,0,9
Ishant Sharma,02/09/1988,31 years 255 days,Right Handed,Right Arm Fast Medium,3.0,2.0,8.0,5*,8.0,0.0,0.0,1.0,1.0,0.0,88.89,46.2,400.0,8.0,50.0,0.0,0.0,8.63,34.75,4.0,1.0,0.0,0.0,0.0,0.0,0,14
Rohit G Sharma,30/04/1987,33 years 14 days,Right Handed,Right Arm Off Break,100.0,15.0,2773.0,118.0,32.62,21.0,4.0,6.0,245.0,126.0,138.72,11.2,113.0,1.0,113.0,0.0,0.0,9.97,68.0,40.0,3.0,0.0,0.0,0.0,0.0,3.75,108
Barinder B Sran,10/12/1992,27 years 156 days,Left Handed,Left Arm Medium,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,8.0,41.0,6.0,6.83,1.0,0.0,5.13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
Shardul Narendra Thakur,16/10/1991,28 years 211 days,Right Handed,Right Arm Medium,2.0,1.0,42.0,22*,42.0,0.0,0.0,0.0,3.0,2.0,182.61,50.3,441.0,21.0,21.0,1.0,0.0,8.73,14.43,4.0,1.0,0.0,0.0,0.0,0.0,0,15
Murali Vijay,01/04/1984,36 years 43 days,Right Handed,Right Arm Off Break,9.0,0.0,169.0,48.0,18.78,0.0,0.0,1.0,12.0,8.0,109.74,2.0,9.0,0.0,0,0.0,0.0,4.5,0,3.0,1.0,0.0,0.0,0.0,0.0,0,9
Washington Sundar,05/10/1999,20 years 222 days,Left Handed,Right Arm Off Break,7.0,3.0,26.0,14*,6.5,0.0,0.0,3.0,1.0,3.0,162.5,76.0,527.0,19.0,27.74,0.0,0.0,6.93,24.0,7.0,1.0,0.0,0.0,0.0,0.0,0,23
Umeshkumar Tilak Yadav,25/10/1987,32 years 202 days,Right Handed,Right Arm Fast,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,219.0,9.0,24.33,0.0,0.0,8.76,16.67,3.0,1.0,0.0,0.0,0.0,0.0,0,7
